anime_titles,anime_ids,anime_genres
Angel Links,1,"['action', 'drama', 'science fiction']"
Apocalypse Zero,2,"['action', 'science fiction']"
Nasu: Summer in Andalusia,3,['tournament']
Gatchaman,4,"['action', 'adventure', 'drama', 'science fiction']"
Battle Skipper,5,"['action', 'comedy', 'science fiction']"
Blood: The Last Vampire,7,"['action', 'horror', 'mystery', 'supernatural', 'thriller']"
Blue Seed,8,"['action', 'comedy', 'horror', 'romance', 'science fiction', 'supernatural']"
Bondage Queen Kate,9,"['erotica', 'science fiction']"
"Ceres, Celestial Legend",12,"['drama', 'horror', 'psychological', 'romance', 'supernatural']"
Cowboy Bebop,13,"['action', 'drama', 'science fiction']"
Crest of the Stars,14,"['adventure', 'drama', 'romance', 'science fiction']"
Detonator Orgun,15,"['action', 'science fiction']"
El Hazard - The Magnificent World,16,"['adventure', 'comedy', 'fantasy', 'romance']"
Fencer of Minerva,17,"['erotica', 'fantasy']"
Garaga,18,"['adventure', 'science fiction']"
Getter Robo,19,"['action', 'science fiction']"
Getter Robo: Armageddon,20,"['action', 'adventure', 'horror', 'psychological', 'science fiction']"
Mobile Suit Gundam 0080: War in the Pocket,22,"['action', 'drama', 'science fiction', 'slice of life']"
Mobile Suit Gundam 0083: Stardust Memory,23,"['action', 'drama', 'science fiction']"
Mobile Suit Gundam: The 08th MS Team,24,"['action', 'drama', 'romance', 'science fiction']"
Mobile Suit Gundam Wing,26,"['action', 'drama', 'science fiction']"
Hades Project Zeorymer,27,"['action', 'science fiction']"
Hand Maid May,29,"['comedy', 'romance', 'science fiction']"
Kimagure Orange Road: Summer's Beginning,34,"['action', 'comedy', 'drama', 'romance']"
Kishin Corps,35,"['adventure', 'science fiction']"
La Blue Girl EX,36,"['erotica', 'romance', 'supernatural']"
Landlock,37,"['adventure', 'fantasy']"
Magic Knight Rayearth,38,"['adventure', 'fantasy']"
Chirorin Mura Monogatari,39,[]
Crush Gear Nitro,40,"['action', 'adventure']"
Magic User's Club!,41,"['comedy', 'drama', 'magic', 'romance']"
Martian Successor Nadesico,42,"['adventure', 'comedy', 'drama', 'science fiction']"
Masquerade,43,"['comedy', 'erotica', 'mystery', 'supernatural']"
Maze,44,"['adventure', 'comedy', 'fantasy']"
Metal Fighter Miku,45,"['comedy', 'science fiction', 'tournament']"
Mobile Suit Gundam,46,"['action', 'drama', 'science fiction']"
My My Mai,47,"['comedy', 'romance']"
Nadia - The Secret of Blue Water,48,"['adventure', 'comedy', 'science fiction']"
Neon Genesis Evangelion,49,"['action', 'drama', 'psychological', 'science fiction']"
NieA_7,50,"['comedy', 'science fiction', 'slice of life']"
Night on the Galactic Railroad,51,"['drama', 'fantasy']"
Nightwalker: The Midnight Detective,52,"['comedy', 'horror', 'mystery', 'supernatural']"
Oh My Goddess!,53,"['comedy', 'drama', 'magic', 'romance']"
Ga-Ra-Ku-Ta: Mr. Stain on Junk Alley,54,"['comedy', 'slice of life']"
High School Mystery: Gakuen Nanafushigi,55,[]
ONE ~Kagayaku Kisetsu e~,56,"['drama', 'romance']"
Dirty Pair,57,"['action', 'comedy', 'science fiction']"
Orphen,58,"['adventure', 'comedy', 'fantasy']"
Patlabor the Mobile Police,59,"['action', 'comedy', 'science fiction']"
Ping Pong Club,60,"['comedy', 'slice of life']"
